make,model,tier,source_type,urls_processed,images_downloaded,images_approved,images_rejected,rejection_rate,colors_detected,run_duration_seconds,errors,timestamp
Audi,Tt Hatchback,Tier 1,Official Website,1,30,0,30,100.0%,,913,0,2026-03-20T11:11:25Z
Audi,S5 Convertible,Tier 1,Official Website,1,19,4,15,78.9%,,249,0,2026-03-20T12:21:43Z
Audi,Tt Hatchback,Tier 1,Official Website,1,31,0,31,100.0%,,938,0,2026-03-20T12:34:09Z
Aston Martin,Rapide,Tier 1,Official Website,1,34,31,3,8.8%,,177,0,2026-03-23T10:05:12Z
Aston Martin,Vanquish (Gen 2),Tier 1,Official Website,1,14,12,2,14.3%,,196,0,2026-03-23T10:08:29Z
Aston Martin,Db11,Tier 1,Official Website,1,45,24,21,46.7%,,262,0,2026-03-23T10:12:51Z
Aston Martin,Vantage (Modern),Tier 1,Official Website,5,200,73,127,63.5%,,1262,0,2026-03-23T10:33:54Z
Aston Martin,Dbs Superleggera,Tier 1,Official Website,1,0,0,0,0%,,21,0,2026-03-23T10:34:16Z
Aston Martin,Dbx,Tier 1,Official Website,7,265,95,170,64.2%,,1786,0,2026-03-23T11:04:02Z
Aston Martin,Db12,Tier 1,Official Website,6,2,0,2,100.0%,,150,0,2026-03-23T11:06:33Z
Aston Martin,Db9,Tier 1,Official Website,1,11,7,4,36.4%,,191,0,2026-03-23T11:09:44Z
Aston Martin,V8 Vantage (Mod.),Tier 1,Official Website,1,5,4,1,20.0%,,89,0,2026-03-23T11:11:14Z
Alfa Romeo,4C,Tier 1,Official Website,1,12,7,5,41.7%,,182,0,2026-03-24T10:08:14Z
Alfa Romeo,Giulia,Tier 1,Official Website,13,118,68,50,42.4%,,4741,10,2026-03-24T11:27:16Z
Alfa Romeo,Stelvio,Tier 1,Official Website,34,84,57,27,32.1%,,2809,30,2026-03-24T12:14:06Z
Alfa Romeo,Tonale,Tier 1,Official Website,34,100,73,27,27.0%,,1149,30,2026-03-24T12:33:15Z
Audi,A6,Tier 1,Official Website,1,20,1,19,95.0%,,398,0,2026-03-25T11:02:47Z
Audi,A4,Tier 1,Official Website,1,15,2,13,86.7%,,265,0,2026-03-25T11:07:12Z
